Decimal Day (UTC),Temp (oC)
175.0,21.685132634176437
176.0,21.717444717444717
177.0,22.029404542664214
178.0,22.23580089342693
179.0,21.968312500000003
180.0,22.142340686274512
181.0,22.33746928746929
182.0,22.51220110361741
183.0,22.46768617021276
184.0,22.548691767709
185.0,22.75245398773006
186.0,22.636078672403197
187.0,22.431122448979593
188.0,22.16783854166667
189.0,22.205013020833334
190.0,22.33264540337711
191.0,22.62947303921569
192.0,22.70491400491401
193.0,22.68092783505155
194.0,22.657617187499998
195.0,22.685351170568563
196.0,22.820898437500002
197.0,22.844647519582242
198.0,22.857478772044416
199.0,22.756156351791528
200.0,22.69968632371393
201.0,22.63546012269939
202.0,22.470465686274512
203.0,22.582872928176794
204.0,22.754015941140405
205.0,22.789655172413795
206.0,22.759436274509806
207.0,22.741446965052116
208.0,22.75214460784314
209.0,22.48651960784314
210.0,22.448466257668713
211.0,22.522066326530613
212.0,22.454752604166668
213.0,22.3322641509434
214.0,22.380143229166666
215.0,22.286920103092786
216.0,22.150923645320198
217.0,22.253414167198468
218.0,21.996687499999997
219.0,22.06143470263642
220.0,22.017599999999998
221.0,22.220098039215685
222.0,22.358736971183323
223.0,22.297570332480813
224.0,22.34515706806283
225.0,22.31920572916667
226.0,22.35994962216625
227.0,22.727997448979593
228.0,22.788577023498693
229.0,22.397459283387622
230.0,22.497580071174376
231.0,22.29743772241993
232.0,21.978876834716015
233.0,21.994226044226046
234.0,22.068410976388
235.0,21.94611528822055
236.0,22.066071428571426
237.0,22.065039062500002
238.0,21.844591194968555
239.0,21.89901960784314
240.0,22.03515337423313
241.0,21.910459183673467
242.0,21.6828125
243.0,21.514413265306118
244.0,21.30658409387223
245.0,21.248187500000004
246.0,21.29166155732679
247.0,21.253676470588236
248.0,21.311476426799008
249.0,21.375374592833875
250.0,21.009350132625997
251.0,21.129775280898876
252.0,21.091037446286066
253.0,20.805156657963447
254.0,20.716731770833334
255.0,20.5983681462141
256.0,20.404687499999998
257.0,20.120680628272254
258.0,19.9873046875
259.0,19.910254735467014
260.0,20.053543307086617
261.0,19.863736979166667
262.0,19.858854166666667
263.0,19.87415364583333
264.0,19.6306135770235
265.0,19.351041666666664
266.0,19.477219321148823
267.0,19.436458333333334
268.0,19.439627659574466
269.0,19.508106267029973
270.0,19.426497395833334
271.0,19.23335509138381
272.0,18.966666666666665
273.0,18.615726817042606
274.0,18.484436274509804
275.0,18.336893799877227
276.0,18.02009803921569
277.0,17.711990111248454
278.0,17.566502159161008
279.0,17.505524861878452
280.0,17.478125000000002
281.0,17.489864864864863
282.0,17.34405637254902
283.0,17.15796923076923
284.0,16.81544117647059
285.0,16.492397302268547
286.0,16.474693627450982
287.0,16.836151960784314
288.0,16.971813725490197
289.0,16.854580397181294
290.0,16.665775749674058
291.0,16.62411994784876
292.0,16.67976501305483
293.0,16.45050125313283
294.0,16.261264579496622
295.0,16.264753086419756
296.0,16.241773778920308
297.0,16.19167803547067
298.0,15.83318002628121
299.0,15.283704188481675
300.0,14.871960784313725
301.0,14.784986945169715
302.0,14.753655352480418
303.0,14.728103339634531
304.0,14.838217338217339
305.0,14.788231707317074
306.0,14.474452554744525
307.0,14.310860280658938
308.0,14.20970695970696
309.0,14.255867970660146
310.0,14.164124466137888
311.0,13.69680393362016
312.0,13.352618607516943
313.0,13.077900552486188
314.0,12.933292307692307
315.0,12.997283950617284
316.0,12.977961939840393
317.0,13.164713140037014
318.0,13.18119237861094
319.0,12.97997542997543
320.0,12.633947206875384
321.0,12.405589680589683
322.0,12.476463339494762
323.0,12.454400000000001
324.0,12.231918819188191
325.0,12.133210332103321
326.0,11.972844827586208
327.0,11.733045622688039
328.0,11.257204169221337
329.0,10.936971183323115
330.0,10.828809376927822
331.0,10.747604422604422
332.0,10.560049019607844
333.0,10.377395577395578
334.0,10.36416717885679
335.0,10.508890251379523
336.0,10.910141364474494
337.0,10.85236051502146
338.0,10.593165024630542
339.0,10.548239654107473
340.0,10.907986577181207
341.0,10.34749833222148
342.0,10.036245110821381
343.0,10.031846733668342
344.0,10.154422604422603
345.0,10.03243076923077
346.0,10.176724137931034
347.0,9.853874767513949
348.0,9.582777777777777
349.0,9.438817005545287
350.0,9.578892307692309
351.0,9.723879680785759
352.0,9.942224953902889
353.0,9.775276752767528
354.0,9.520492307692308
355.0,9.594229588704726
356.0,9.708358942839583
357.0,9.432800982800982
358.0,9.277088452088451
359.0,9.006568446899939
360.0,8.871411042944786
361.0,8.919483712354026
362.0,9.03868792152054
363.0,9.299445812807882
364.0,9.211063306699447
