,name,x,y,start date,stop date
266,CHC14DX2,545338.1756377551,4206982.69191456,2015-01-15,2015-01-28
267,CHC14DX3,545323.3072586469,4206972.623286641,2015-01-15,2015-01-28
268,CHC14PD1,545344.2776101554,4206990.492762317,2014-12-19,2014-12-29
269,CHC14PD3,545323.3072586469,4206972.623286641,2014-12-19,2014-12-29
270,CHC14MFD,545379.1334696265,4207037.288193825,2014-12-03,2015-02-03
271,CHC14SPD,545361.7548870194,4207005.014189646,2014-12-03,2014-12-29
272,CHC14CHT,554706.6563057445,4209918.5381796,2014-12-02,2015-02-02
273,CHC14M1T,547149.7478435735,4211021.823140252,2014-12-02,2015-02-02
274,CHC14M2T,548511.1313391828,4211065.415224665,2014-12-02,2015-04-13
275,CHC14N1T,548473.7436500605,4214416.025920051,2014-12-03,2015-02-02
276,CHC14S1T,546984.3458942688,4207421.399599122,2014-12-03,2015-02-02
277,CHC14TDH,545114.4229747277,4206962.590319592,2014-12-05,2015-01-28
278,CHC14TDL,545222.0387853554,4207028.649920267,2014-12-05,2015-01-28
279,CHC16DX1,545342.497233941,4206994.921149671,2016-05-31,2016-06-09
280,CHC16DX3,545327.6596696838,4206979.304845659,2016-05-31,2016-06-09
281,CHC16DX4,545303.1839181562,4206960.306402732,2016-05-31,2016-06-09
282,CHC16DXA,545332.8961013278,4206984.881745872,2016-05-31,2016-06-09
283,CHC16MFD,545383.559781306,4207030.655379847,2016-05-05,2016-06-23
284,CHC16SPD,545683.2896981974,4207278.650583798,2016-05-05,2016-06-23
285,CHC16DX2,545339.8759459881,4206992.687462744,2016-05-31,2016-06-09
286,CHC16CRD,544951.7207592237,4206919.751639112,2016-05-07,2016-06-22
287,CHC16CHT,554830.6007491704,4209903.755189428,2016-05-05,2016-06-21
288,CHC16MFT,545683.2896981974,4207278.650583798,2016-05-04,2016-06-21
289,CHC16M2M,548492.8200502874,4211105.029354816,2016-05-04,2016-06-21
290,CHC16M2T,548517.3287849813,4211070.889032539,2016-05-04,2016-06-22
291,CHC16MLT,548488.9590567412,4211083.852733472,2016-05-04,2016-06-22
292,CHC16N1T,548493.955965217,4214409.4886665335,2016-05-04,2016-06-21
