#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 04 04 50 130  5.0  6.0  2.03 17.39  9.79 283 1015.3  12.5  11.7 999.0 99.0 99.00
2018 01 04 05 50 117  4.3  5.4  2.18 17.39 10.20 279 1015.5  11.9  11.6 999.0 99.0 99.00
2018 01 04 06 50 154  7.5  9.5  2.08 17.39  7.75 278 1015.6  12.5  11.6 999.0 99.0 99.00
2018 01 04 07 50 152  9.2 10.8  2.20 17.39  7.00 288 1015.5  12.1  11.7 999.0 99.0 99.00
2018 01 04 08 50 156  7.9  9.7  2.36 13.79  7.18 288 1015.8  12.2  11.8 999.0 99.0 99.00
2018 01 04 09 50 159  6.9  8.2  2.30 17.39  7.08 264 1015.9  12.5  11.9 999.0 99.0 99.00
2018 01 04 10 50 146  5.8  7.4  2.85 16.00  8.65 279 1016.5  12.7  12.0 999.0 99.0 99.00
2018 01 04 11 50  94  4.2  5.7  2.28 16.00  7.21 294 1016.8  12.4  12.0 999.0 99.0 99.00
2018 01 04 12 50  85  5.5  7.0  2.92 16.00  8.58 280 1016.7  12.3  12.1 999.0 99.0 99.00
2018 01 04 13 50  91  5.7  7.6  2.76 16.00  8.24 283 1016.8  12.1  12.1 999.0 99.0 99.00
2018 01 04 14 50  84  5.9  7.9  2.48 16.00  8.24 290 1017.3  11.8  12.1 999.0 99.0 99.00
2018 01 04 15 50  88  5.9  7.5  2.33 14.81  7.97 291 1017.4  11.8  12.2 999.0 99.0 99.00
2018 01 04 16 50 100  5.5  6.9  2.45 16.00  8.79 275 1018.0  12.1  12.5 999.0 99.0 99.00
2018 01 04 17 50 102  4.4  5.7  2.42 14.81  8.23 282 1018.4  12.3  12.9 999.0 99.0 99.00
2018 01 04 18 50 138  5.5  7.3  2.32 14.81  7.59 295 1018.7  13.8  13.1 999.0 99.0 99.00
2018 01 04 19 50 155  8.3 10.3  2.53 14.81  7.81 287 1017.9  14.1  13.2 999.0 99.0 99.00
2018 01 04 20 50 155  7.8  9.3  2.05 14.81  6.38 290 1017.2  14.0  13.3 999.0 99.0 99.00
2018 01 04 21 50 159  9.8 12.0  2.14 14.81  6.67 284 1016.5  14.0  13.3 999.0 99.0 99.00
2018 01 04 22 50 167  8.3 10.1  2.72 13.79  7.53 295 1016.5  13.8  13.2 999.0 99.0 99.00
2018 01 04 23 50 163  7.2  8.5  2.35 13.79  7.43 287 1016.9  13.6  13.2 999.0 99.0 99.00
2018 01 05 00 50 165  6.9  8.1  2.27 16.00  7.66 280 1017.4  13.5  13.1 999.0 99.0 99.00
2018 01 05 01 50 161  6.5  7.8  2.15 12.90  6.83 286 1018.0  13.3  13.1 999.0 99.0 99.00
2018 01 05 02 50 158  5.9  7.1  2.24 13.79  7.68 286 1018.4  13.4  13.1 999.0 99.0 99.00
2018 01 05 03 50 170  6.5  8.5  2.12 13.79  7.26 286 1019.1  13.7  13.1 999.0 99.0 99.00
2018 01 05 04 50 159  6.0  7.5  2.13 13.79  7.56 288 1019.5  13.6  13.1 999.0 99.0 99.00
2018 01 05 05 50 158  6.8  8.5  1.98 12.90  7.06 287 1019.8  13.6  13.2 999.0 99.0 99.00
2018 01 05 06 50 154  5.9  7.3  2.29 13.79  7.77 284 1019.7  13.5  13.1 999.0 99.0 99.00
2018 01 05 07 50 163  7.2  8.5  1.92 13.79  6.85 265 1019.5  13.7  13.2 999.0 99.0 99.00
2018 01 05 08 50 175  8.5 10.2  2.03 12.90  6.77 283 1019.3  13.6  13.3 999.0 99.0 99.00
2018 01 05 09 50 161  8.1  9.5  1.95 14.81  6.36 287 1019.3  13.6  13.4 999.0 99.0 99.00
2018 01 05 10 50 163  6.8  8.2  1.88 13.79  6.40 283 1020.0  13.7  13.5 999.0 99.0 99.00
2018 01 05 11 50 160  8.1  9.7  1.88 13.79  6.29 289 1019.8  13.7  13.5 999.0 99.0 99.00
2018 01 05 12 50 159  6.9  8.1  1.64 13.79  5.89 279 1019.6  13.6  13.6 999.0 99.0 99.00
2018 01 05 13 50 169  6.5  8.1  2.02 13.79  7.16 286 1019.6  13.9  13.6 999.0 99.0 99.00
2018 01 05 14 50 165  7.2  8.8  1.78 12.90  6.24 294 1020.0  13.9  13.6 999.0 99.0 99.00
2018 01 05 15 50 167  8.3 10.5  1.77 12.12  6.18 303 1020.6  13.9  13.6 999.0 99.0 99.00
2018 01 05 16 50 166  8.0  9.5  1.84 12.90  6.40 293 1021.3  13.7  13.6 999.0 99.0 99.00
2018 01 05 17 50 180  5.9  7.2  1.75 13.79  6.52 291 1022.2  13.6  13.6 999.0 99.0 99.00
2018 01 05 18 50 219  2.3  3.8  1.78 13.79  6.87 289 1022.7  13.5  13.6 999.0 99.0 99.00
2018 01 05 19 50 331  0.7  1.4  1.86 12.12  7.22 289 1022.7  13.4  13.7 999.0 99.0 99.00
2018 01 05 20 50 283  2.7  3.4  1.74 12.90  7.32 285 1022.3  13.4  13.8 999.0 99.0 99.00
2018 01 05 21 50 298  4.7  5.6  1.76 13.79  7.92 274 1022.2  13.2  13.8 999.0 99.0 99.00
2018 01 05 22 50 307  3.2  4.2  1.83 13.79  8.01 270 1022.2  12.6  13.7 999.0 99.0 99.00
2018 01 05 23 50 354  0.7  1.6  1.78 12.90  8.33 276 1022.6  12.3  13.6 999.0 99.0 99.00
2018 01 06 00 50  81  1.6  2.8  1.88 13.79  8.45 281 1022.1  12.0  13.6 999.0 99.0 99.00
2018 01 06 01 50 171  3.1  4.2  1.65 13.79  8.00 284 1022.8  12.2  13.5 999.0 99.0 99.00
2018 01 06 02 50 160  1.9  2.9  1.75 12.90  8.27 283 1023.0  12.3  13.5 999.0 99.0 99.00
2018 01 06 03 50 211  1.8  2.6  1.83 12.90  8.07 277 1023.2  12.5  13.5 999.0 99.0 99.00
2018 01 06 04 50 225  2.0  2.6  1.94 12.90  8.48 292 1023.3  12.6  13.5 999.0 99.0 99.00
2018 01 06 05 50 235  1.8  2.7  2.29 10.81  8.93 288 1023.4  12.9  13.5 999.0 99.0 99.00
2018 01 06 06 50 277  2.8  3.9  2.13 11.43  8.73 291 1023.4  13.1  13.5 999.0 99.0 99.00
2018 01 06 07 50 314  4.3  5.3  2.21 10.81  8.83 290 1023.3  13.0  13.5 999.0 99.0 99.00
2018 01 06 08 50 320  2.7  3.9  2.40 12.90  9.18 282 1022.8  12.7  13.5 999.0 99.0 99.00
2018 01 06 09 50 326  2.2  3.1  2.51 11.43  9.16 293 1022.3  12.6  13.4 999.0 99.0 99.00
2018 01 06 10 50 330  3.5  4.8  2.34 10.81  8.97 292 1022.2  12.5  13.5 999.0 99.0 99.00
2018 01 06 11 50 324  4.4  5.8  2.60 11.43  9.11 287 1022.2  12.6  13.5 999.0 99.0 99.00
2018 01 06 12 50 321  5.7  6.9  2.35 11.43  8.75 272 1022.2  12.6  13.5 999.0 99.0 99.00
2018 01 06 13 50 311  5.7  7.1  2.39 10.00  8.51 282 1022.6  12.6  13.5 999.0 99.0 99.00
2018 01 06 14 50 305  6.3  7.9  2.32 10.81  8.10 273 1022.7  12.5  13.5 999.0 99.0 99.00
2018 01 06 15 50 304  5.9  7.1  2.04 10.81  7.58 295 1023.1  12.5  13.4 999.0 99.0 99.00
2018 01 06 16 50 311  6.9  8.6  2.46 10.00  8.15 280 1022.9  12.5  13.4 999.0 99.0 99.00
2018 01 06 17 50 314  5.9  7.2  2.36 10.00  8.05 276 1023.5  12.5  13.5 999.0 99.0 99.00
2018 01 06 18 50 328  6.8  8.4  2.01 10.00  7.40 281 1024.2  12.3  13.5 999.0 99.0 99.00
2018 01 06 19 50 315  6.3  7.6  2.23  9.09  7.54 291 1023.7  12.2  13.6 999.0 99.0 99.00
2018 01 06 20 50 306  5.9  7.6  2.36 10.00  7.63 282 1022.9  12.3  13.6 999.0 99.0 99.00
2018 01 06 21 50 319  7.0  8.3  2.06 10.00  7.33 290 1022.0  12.3  13.6 999.0 99.0 99.00
2018 01 06 22 50 308  6.1  7.6  2.23 10.00  7.50 291 1022.1  12.5  13.6 999.0 99.0 99.00
2018 01 06 23 50 326  6.1  7.7  2.08 12.12  7.35 275 1021.4  12.3  13.5 999.0 99.0 99.00
2018 01 07 00 50 320  6.3  8.0  2.12 12.90  7.30 275 1021.8  12.2  13.5 999.0 99.0 99.00
2018 01 07 01 50 307  6.2  7.5  2.11 12.90  7.06 260 1022.4  12.1  13.4 999.0 99.0 99.00
2018 01 07 02 50 312  6.5  7.8  1.98 12.12  7.08 295 1021.8  12.1  13.4 999.0 99.0 99.00
2018 01 07 03 50 320  5.7  7.0  2.05 12.90  7.22 253 1022.3  12.1  13.3 999.0 99.0 99.00
2018 01 07 04 50 347  3.5  4.3  2.11 12.90  7.56 265 1022.4  11.6  13.3 999.0 99.0 99.00
2018 01 07 05 50 306  3.5  4.5  1.97 12.12  7.34 272 1022.2  11.9  13.2 999.0 99.0 99.00
2018 01 07 06 50 331  1.9  2.4  2.00 12.90  7.70 292 1022.2  11.9  13.2 999.0 99.0 99.00
